,file_name,vgg19,rn152,target,rn152_ft_highlr_1,rn152_ft_highlr_5,rn152_ft_1,rn152_ft_5,rn152_ft_10
0,7C67AB4E289F131709410245_1709410245332_13_1_0_03.jpg,a young boy standing next to a fire hydrant on the side of a road,a man standing next to a dog on the ground with a dog,A man checks his phone before leaving the yard., two men are playing a game of frisbee, a person is a dog <unk> the, a man standing next to a dog on the ground, a man and a dog are standing next to each other on the road, a man and a dog are standing next to each other on the road
1,7C67AB4F513F131699029751_1699029753718_13_1_0_04.jpg,a group of people standing next to each other on a lush green field,a group of people sitting on a bench in front of some trees,A person carries a package indoors., a group of people standing around a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, a group of people sitting on a bench in front of some trees, a group of people sitting on a bench in front of a garden, a group of people sitting on a bench in front of a garden
2,7C67AB4253DA131692816209_1692816209108_13_1_0_05.jpg,a person standing in the middle of a field with a surfboard,a black bird sitting on top of a green grass covered field,A person is leaving the house., a bird is flying through the air, a person is <unk> the <unk> the, a black bird sitting on top of a green grass covered field, a bird is perched on the edge of a window sill, a bird is sitting on the edge of a window sill
3,7C67AB0DF159131701206089_1701206089308_13_1_0_03.jpg,a person standing next to a bed with a bag,there is a man that is sitting on a bench in the rain,A delivery person drops off a package.,  , a person is <unk> the <unk> the, there is a man that is sitting on a bench in the rain, a man is sitting on a bench in front of a building with a large clock, a man is sitting on a bench in the rain
4,7C67AB0E44A6131692078368_1692078368805_13_1_0_05.jpg,an airplane that is sitting in the middle of a hangar,there is an image of a lot of luggage that are on the side of the building,A person is picking up their delivered package., there is an image of a <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, there is an image of a lot of people that are on the floor, a group of people standing next to each other in a parking lot, a group of people standing next to each other in a parking lot
5,7C67AB5CE626131706745294_1706745294226_13_1_0_04.jpg,a truck is parked on the side of the street,a truck parked in front of a brick building with a clock on it,Residents unload a U-Haul truck at an apartment complex., a truck parked in front of a <pad> <pad> <pad>, a truck is parked to the, a truck parked in front of a brick building with a clock on it, a truck parked in front of a large building with a large white truck, a truck parked in front of a large building with a large white truck
6,7C67AB21C338131697005084_1697005084629_13_1_0_01.jpg,a car driving down a road with a car in the background,a man riding a motorcycle down the road in a parking lot,A car drives away from parked position., a car parked in the parking lot of cars, a person is a vehicle the car, a man riding a motorcycle down the road in a parking lot, a man riding a motorcycle down the road in the parking lot, a man riding a motorcycle down the road in the parking lot
7,7C67AB3FE1F1131704517653_1704517653847_13_1_0_04.jpg,a black and white photo of a red and white photo of a train,a group of people sitting on top of a train,A person walks across the parking lot., a group of people standing around a <pad> <pad> <pad>, a person is <unk> the the vehicle, a group of people sitting on top of an airplane, a group of people sitting on top of an airport tarmac, a group of people standing next to each other in a parking lot
8,7C67AB0DDBF5131710283395_1710283395604_13_1_0_01.jpg,a train traveling down train tracks next to a lush green field,a truck parked in front of a house with a truck in the background,Two individuals are working in the backyard., a truck is parked in front of a <pad> <pad>, a person is a truck the, a truck parked in front of a house with a truck, a truck parked in front of a house with a truck, a truck parked in front of a house with a truck
9,7C67AB21C338131696900842_1696900842174_13_1_0_03.jpg,a car driving down the road in front of a traffic light on a street,a car parked in the middle of a parking lot,A person collects garbage bins from the street., a car is parked on the side of the road, a car is parked car the car, a car parked in the middle of a parking lot, a car parked in front of a parking meter, a car parked in front of a parking meter in the middle of a city street
10,7C67AB0C8947131710155352_1710155352258_13_1_0_01.jpg,a truck driving down the road with a car in the background,a bench sitting in the middle of a park,A person retrieves a package from the porch., a person is sitting in the <pad> <pad> <pad>, a person is a vehicle, a bench sitting in the middle of a park, a bench in the middle of a park, a bench in the middle of the road
11,7C67AB402D96131708213152_1708213152202_13_1_0_01.jpg,a view of a train station in a train station,a view of a train station in a train station,A person retrieves a package from the porch., a view of a <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, a view of a train station in a large room with a large window, a view of a train station with people standing around it and a dog is in the window, a view of a train station with people standing around it and a dog is in the window
12,7C67AB227FAC131696294539_1696294539585_13_1_0_04.jpg,a room filled with lots of furniture and a window,a black and white photo of a kitchen with a refrigerator and a table with a refrigerator,Person carrying a bag exits the kitchen., a room filled with lots of furniture and a <pad> <pad>, a person is in the living room, a black and white photo of a kitchen with a table and chairs in it, a room filled with lots of furniture and a tv, a room filled with lots of furniture and a tv
13,7C67AB212385131703719394_1703719394192_13_1_0_03.jpg,a room filled with lots of different types of furniture,a view of a building in the middle of a house,A person walks away after delivering a package., a person is standing in the <pad> <pad> <pad> <pad>, a person is parked in the driveway, there is a building that has a house in the background and a building in the background, there is a house that has a lot of furniture in it, there is a house that has a lot of furniture in it
14,7C67AB014CEC131687380000_1687380000000_13_1_0_02.jpg,a view of a train station with a train on the tracks,a car parked in front of a white building with a large window,A delivery person leaves a package at the door., a car is parked in front of a <pad> <pad> <pad>, a person is parked the the vehicle, a car parked in front of a bus parked in front of a building, a car is parked in front of a white van, a car is parked in front of a white van
15,7C67AB239AA3131686377959_1686377959146_13_1_0_05.jpg,a train traveling down a train track in front of a building with a clock,a view of a building in the middle of a building,A person walks past the apartment corridor., a person taking a picture of a <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, a view of a building in the middle of a building, a view of a city street with people walking in the background, a view of a city street with people walking in the background
16,7C67AB0C8947131707895925_1707895925719_13_1_0_05.jpg,a view of a train station with a man in the background,a bench sitting in the middle of a field,A man delivers a package to the porch., a person sitting in the <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is a vehicle the, a view of a bench in the middle of the road, a person sitting on a bench in front of a house with a dog in the background, a person sitting on a bench in front of a house with a dog in the background
17,7C67AB228121131695094704_1695094704495_13_1_0_03.jpg,a black and white photo of a cat sitting on the back of a car,a teddy bear is sitting on top of a chair,Person collects package from doorstep then returns inside., a dog is laying on the <pad> <pad> <pad> <pad> <pad>, a person is a dog, a teddy bear is sitting on top of a chair, a teddy bear sitting on top of a window sill, a teddy bear sitting on top of a window sill
18,7C67AB413B36131697081582_1697081582100_13_1_0_02.jpg,a view of a train at a train station in the background,there is a picture of a man in the mirror,A vehicle arrives and parks in the driveway., a person taking a picture of a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is a vehicle the, there is a man standing in front of a window, there is a man standing in front of a train car, there is a man standing in front of a window
19,7C67AB0DFB84131692758890_1692758890035_13_1_0_03.jpg,a black and white photo of a man and a woman walking down the street,a group of people standing next to each other on a sidewalk,A person approached and knocked on the door., a group of people standing next to a <pad> <pad> <pad>, a person is <unk> the <unk> <unk>, a group of people standing next to each other on a sidewalk, a group of people standing next to each other in the snow, a group of people standing next to each other in the snow
20,7C67AB4E9E6F131707198096_1707198096749_13_1_0_05.jpg,a man is standing in a kitchen preparing food in a kitchen,a room filled with lots of furniture in a room with a large window,A woman picks up a small dog., a room filled with lots of furniture and a large floor, a person is <unk> the <unk>, a room filled with lots of furniture in a room with a large window, a room filled with lots of furniture in a room with a large window, a room filled with lots of furniture in a room with a large window
21,7C67AB0C8947131710155352_1710155352258_13_1_0_04.jpg,a truck driving down the road with a car in the background,a bench sitting in the middle of a park,A person retrieves a package from the porch., a person is sitting in the <pad> <pad> <pad>, a person is a truck the, a bench in the middle of a road with trees in the background, a bench in the middle of a road with a lot of cars, a view of a bench in the middle of the road
22,7C67AB225CC7131695158179_1695158179668_13_1_0_01.jpg,a view of a boat in the middle of the water,there is a man standing on the side of a boat in the water,A FedEx truck stops for package delivery., a man is taking a picture of a boat in the water, a person is <unk> the <unk> the, there is a man standing on the side of a boat in the water, a man is standing on the side of a boat in the water, a man is standing on a boat in front of a boat
23,7C67AB4BA3FE131692158855_1692158855119_13_1_0_01.jpg,a person riding a motorcycle down a street,a person sitting on a bench in front of a building with a green tree,A car drives past the residential area., a car is parked on the side of <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <pad>, a person sitting on a bench in front of a building with a tree, a person sitting on a bench in front of a city street with a fire hydrant, a person sitting on a bench in front of a city street with a fire hydrant
24,7C67AB4B733C131707884309_1707884309097_13_1_0_01.jpg,a group of people sitting in a living room playing a video game,a group of people sitting in a living room with a laptop,One person sits on the bed while another leaves the room., a group of people sitting around a <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, a group of people sitting in a living room with a laptop, a group of people sitting in a living room with a dog and a cat, a group of people sitting in a living room with a dog and a cat
25,7C67AB0F3B4C131706745469_1706745469272_13_1_0_03.jpg,a car parked on the side of a road with a bunch of cars,a car parked next to a parking lot with a lot of cars,A silver car exits the driveway., a car is parked next to a <pad> <pad> <pad>, a car is parked in the parking lot, a car parked next to a parking lot with a lot of cars, a car parked next to a parking lot with a lot of parked cars, a car parked next to a parking lot with a lot of parked cars
26,7C67AB228121131695094704_1695094704495_13_1_0_02.jpg,a black and white photo of a cat sitting in a chair,a teddy bear is sitting on top of a window sill,Person collects package from doorstep then returns inside., a dog is laying on the <pad> <pad> <pad> <pad> <pad>, a person is <unk> the the, a teddy bear is sitting on top of a window sill, a teddy bear is sitting on the window of a car, a dog is sitting on the floor of a window
27,7C67AB4253DA131692816209_1692816209108_13_1_0_03.jpg,a black and white photo of a black and white photo of a person,a small bird sitting on top of a green grass covered field,A person is leaving the house., a person is holding onto a <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, a small bird sitting on top of a green grass covered field, a person is standing in front of a toilet with a large bird in the background, a person is standing in front of a toilet with a large bird in the background
28,7C67AB40FE28131707028535_1707028535894_13_1_0_05.jpg,a black and white photo of a train on a train track,there is a man that is standing in the middle of a room,Person retrieves a package from the driveway., a picture of a <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, there is a man that is standing in the middle of a room, there is a man that is standing in the middle of a room, there is a man that is standing in the middle of a room
29,7C67AB0D76A2131711021192_1711021192331_13_1_0_03.jpg,a small child is sitting next to a teddy bear on a bed,a person sitting on a bed in a room with a book,Child wakes up and stretches in bed., a person holding a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, there is a man sitting on the floor in front of a window, a person sitting on the floor in front of a bed with a stuffed animal, a person is holding a small child in a room with a bed
30,7C67AB0EAF52131703777815_1703777815069_13_1_0_03.jpg,a person riding a skateboard down a street,there is a person that is sitting on a bench,A person picking up a package., a person is holding a bike in the street, a person is parked in the street, there is a person that is sitting on a bench, a person is holding a bike in the street, a person is holding a bike in front of a parking meter
31,7C67AB20BE13131701206676_1701206676655_13_1_0_04.jpg,a man riding on the back of a car with a car,a man is sitting in a car looking at the camera,A person picks up a red package., a person is looking out of the window of a vehicle, a person is a vehicle the, a man is sitting in a car looking out the window of a car, a man is sitting in the back seat of a car, a man is taking a picture of himself in a car
32,7C67AB0E1A8A131686442916_1686442916154_13_1_0_05.jpg,a truck is parked in front of a building with a large clock,a truck is parked on the side of the street,A man walks toward a parked vehicle.,  , a truck is parked to the, a truck is parked on the side of the street, a truck is parked on the side of the road, a truck is parked on the side of the road
33,7C67AB0DB562131699515612_1699515612600_13_1_0_03.jpg,a motorcycle parked in front of a building with a clock,an old train is parked next to a building with a red and white car,A vehicle is parked in the driveway., a truck is parked on the <pad> <pad> <pad>, a person is a truck the, an old fashioned car is parked in the middle of a street, an old rusty truck parked in front of a building with a red and white fire hydrant, an old rusty truck parked in front of a building with a red and white fire hydrant
34,7C67AB239AA3131686416401_1686416401501_13_1_0_02.jpg,a man is standing in front of a building with a train on it,a group of people standing in front of a building with a window,Resident takes out the trash bags., a person is standing in front of a building, a person is <unk> the <unk>, a group of people standing in front of a building with a window, people are walking down the sidewalk in front of a building with a clock, people are walking down the sidewalk in front of a building with a clock
35,7C67AB227FAC131695595735_1695595735887_13_1_0_03.jpg,a person sitting at a table with a cell phone and a bottle of wine,a man is standing in a living room holding a wii controller,Person carrying bags is entering the kitchen., two men are playing a video game in a room, a person is <unk> the room, a man is standing in front of a tv in a room, a man is playing a video game in a living room, a person is playing a video game in a living room
36,7C67AB5CE626131707436349_1707436349702_13_1_0_01.jpg,a group of people standing in front of a building with a large amount of luggage,a group of motorcycles parked on the side of the road,A resident is retrieving a package from their doorstep., a police car is parked on the side of the road, a car is parked on the side of the road, a group of motorcycles parked on the side of the road, a group of motorcycles are parked on the side of the road, a group of motorcycles are parked on the side of the road
37,7C67AB218145131708549946_1708549946406_13_1_0_03.jpg,a person is walking down the street with an umbrella in the background,a truck parked in the middle of a parking lot,Various vehicles pass by the front yard., a car is parked in the <pad> <pad> <pad> <pad>, a person is a vehicle the car, a truck parked in the middle of a parking lot, a truck is parked in the rain with a boat in the background, a truck is parked in the rain with a boat in the background
38,7C67AB2122AF131701047129_1701047129995_13_1_0_05.jpg,a black and white photo of a train on a train track,there is a picture of a truck in the middle of the street,A vehicle departs from the parking lot., a car is parked in front of a <pad> <pad>, a person is <unk> the the, there is a man standing in front of a truck, there is a man standing in front of a truck, a person is standing in the back of a truck
39,7C67AB0C8947131707895925_1707895925719_13_1_0_01.jpg,a view of a city street at night with a car and a bus,there is a bench in the middle of the road,A man delivers a package to the porch., a person sitting in the <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is in the the <pad>, there is a bench in the middle of the road, there is a person sitting on a bench in the snow, there is a person sitting on a bench in the snow
40,7C67AB41C279131708726339_1708726339398_13_1_0_03.jpg,a man standing in front of a truck with a man in the back,a group of people standing in front of a truck,Delivery person drops off a package., a group of people standing around it, a person is a vehicle the, a group of people standing in front of a truck, a group of people standing in front of a truck with a dog on it, a group of people standing in front of a truck with a dog in the back
41,7C67AB20C4F5011687836940_1687836949306_13_1_0_03.jpg,a view of a city street at night with a traffic light,a person taking a picture of himself in the mirror,A car approaches and stops opposite., a view of a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, a person taking a picture of himself in the mirror, a view of a mirror in the mirror of a man, a view of a person taking a picture in the mirror of a mirror
42,7C67AB41C279131708726339_1708726339398_13_1_0_05.jpg,a truck is driving down the road in a field,a truck parked in front of a building in a park,Delivery person drops off a package., a truck parked in the <pad> <pad> <pad>, a person is a truck the, a truck parked in front of a building in a parking lot, a truck parked in front of a building with a boat in the background, a truck parked in front of a building with a boat in the background
43,7C67AB4AF935131704021852_1704021852553_13_1_0_01.jpg,an image of a man in a black and white photo of a mirror,a close up view of a mirror in the middle of a dark room,Person checks vehicle while another walks away., an image of a <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, a close shot of a mirror in a dark room, a close up view of a mirror in a dark room, a close up view of a person taking a picture in the mirror of a man
44,7C67AB4F46BE131707140837_1707140837787_13_1_0_01.jpg,a train that is sitting on the side of a train,an old train is parked on the side of a train,Two people walk towards parked vehicles., an old rusty truck parked next to a <pad> <pad>, a person is a <unk> the the, an old train is parked on the side of a train, an old rusty truck parked in front of a building, an old rusty truck parked next to a brick building
45,7C67AB501294131705883212_1705883212569_13_1_0_02.jpg,a man riding on the back of a boat on a dirt road,a person on a skate board in the middle of a ramp,A black car is pulling away., a person is doing a trick on a skateboard ramp, a person is <unk> the the <pad>, a person on a skate board in the middle of a ramp, a person is doing a trick on a skate board, a person is doing a trick on a skateboard
46,7C67AB5CE626131707150633_1707150633320_13_1_0_02.jpg,a group of cars parked on the side of the street,a car driving down the street in a busy city,A person walks through an apartment parking lot., a police car is parked on the side of the road, a car is parked on the street the, a car driving down the street in a busy city, a group of cars parked on the side of the road, a car driving down the street in the city
47,7C67AB2232AE131704485163_1704485163894_13_1_0_03.jpg,a group of people standing next to each other on a bench,a group of people standing in a room with luggage,A person walking past a messy porch., a group of people standing around a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the, a group of people standing in front of a building with luggage, a group of people standing in front of a building with luggage, a group of people standing in front of a building with luggage
48,7C67AB41C088131691948245_1691948245602_13_1_0_04.jpg,a black and white photo of a cat sitting on the back of a car,a car parked in front of a house with a car,A woman is doing yard work., a car is parked outside of a <pad> <pad> <pad> <pad>, a person is a car to the the <pad>, a car parked on the side of the road with a car parked on the side of it, a car is parked in front of a house with a car parked in the background, a car is parked in front of a house with a car parked in the background
49,7C67AB22F1F3131698730344_1698730344724_13_1_0_04.jpg,a group of people standing in front of a building with a large window,a room filled with lots of furniture and a window,A person walks into a dimly lit room., a man is standing next to a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, a room filled with lots of furniture in a room with a lot of windows, a room filled with lots of furniture in a room with a lot of people, a room filled with lots of furniture in a room with a lot of people
50,7C67AB23F122131699476227_1699476227351_13_1_0_02.jpg,a blue and white umbrella sitting on top of a green grass covered field,a view of a car parked next to a car and a fire hydrant,A person in red shirt walking across the driveway., a car is parked in a <pad> <pad>, a person is a vehicle the car, a person standing next to a car parked next to a building with a car, a person standing next to a car parked next to a car with a surfboard in the background, a person standing next to a car parked next to a car with a surfboard in the background
51,7C67AB2413F7131700109709_1700109709769_13_1_0_03.jpg,a parking meter on the side of the road,a car parked on the side of the road with a car on it,Dog walks across the driveway at night., a car is parked in the <pad> <pad> <pad>, a person is the the car, a car parked on the side of the road, a car is parked on the side of the road with a car parked in the background, a car is parked on the side of the road with a car parked in the background
52,7C67AB3FD62C131703711905_1703711905916_13_1_0_01.jpg,a car parked in a parking lot next to a building,there is a car that is parked on the side of the road,Person collects a package and walks to the car., a car is parked on the side of the road, a person is a vehicle the car, there is a car that is parked on the side of the road, a car is parked in front of a car, a car is parked in the side of the road
53,7C67AB0DFB84131688341464_1688341464782_13_1_0_01.jpg,a person on a skate board in the air on a ramp,a picture of a man standing in front of a building,A person took out the trash., a person is standing in front of a <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, there is a man standing in front of a building, there is a man standing in front of a building, there is a man standing in front of a building
54,7C67AB4F9E1F131707598499_1707598499268_13_1_0_03.jpg,a car driving down a street with a car in the background,a truck parked in front of a house with a house,A person enters a car and prepares to drive., a truck is parked on the side of the road, a truck is parked in the driveway, a truck parked in front of a house with a car, a truck is parked on the side of the road, a truck is parked on the side of the road
55,7C67AB0C9749131699739188_1699739190118_13_1_0_01.jpg,a view of a window in front of a large window,a view of a window looking out the window of a car,A person exits the house and walks away., a person is looking out the window of the window, a person is in the the door, a view of a window looking out the window of a car, a view of a window looking out the window of a car, a view of a window looking out the window of a vehicle
56,7C67AB431F38131700193155_1700193155378_13_1_0_01.jpg,a parking meter on the side of the road,an old car is parked in front of a large building with a clock on it,A person retrieves an item from near the cars., a car is parked next to a <pad> <pad> <pad>, a car is parked in the the <pad>, a car is parked in front of a building with a car and a car, an image of a car parked in front of an old fashioned car, an image of a car parked in front of an old fashioned car
57,7C67AB233720131708965480_1708965480002_13_1_0_05.jpg,a group of people standing next to each other on a train,a group of people standing in front of a building with a large window,A resident receives a package delivery., a group of <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, a group of people standing next to each other in a room, there is a man that is standing next to a building with a bunch of scissors, there is a man that is standing next to a building with a bunch of scissors
58,7C67AB403DD6131708495737_1708495741660_13_1_0_03.jpg,a living room filled with lots of furniture in a room,a living room filled with lots of furniture in a living room,A person is leaving the living room., a room with several people in the room, a person is <unk> a room, a living room filled with lots of furniture in a living room, a living room filled with lots of furniture in a living room, a living room filled with lots of furniture in a living room
59,7C67AB227FAC131696507294_1696507294981_13_1_0_02.jpg,a bunch of luggage sitting on a table in front of a window,a black and white photo of a kitchen with a refrigerator and a bottle of wine,A person walks through the kitchen., a man is standing in front of a <pad> <pad> <pad> <pad>, a person is <unk> the room, a black and white photo of a kitchen with a refrigerator and a bottle of wine, a picture of a living room filled with lots of furniture, a picture of a living room filled with lots of furniture
